mong,vietnamese
kêl,thấp
saz,cao
lux,lớn
yaz,mới
jông,tốt
đuz,đen
cơưv,học
môngl,đi
naox,ăn
uô,làm
nôngs,chim
shôngz,tre
ntông,cây
trăngz hlâu,cái cuốc
trăngz cơư,cái cưa
trăngz tras,cáii dao
luz tsêr,cái nhà
luz cơưv,cái gùi
luz trôngx,cái bàn
lênhx,người
lênhx nav,người mẹ
lênhx txir,người bố
lênhx txir zơưv,người chú
đeiv qaox,tấm chăn
đeiv ntơưr,quyển vở
đeiv blôngx,chiếc lá
txux plâuz hâu,sợi tóc
txux xur,sợi chỉ
chaor,yến
puôk,tạ
cxaz,tấn
yiv,thước
đangx,vàng
lôngx têl,gang tay
phưz,gáo
langv phưx,chai
đar,thìa
khaoz,chén
jas,lần
pluôv,bữa
hnuz,ngày
hmao,đêm
hlik (hli),tháng
shông,năm
ntiv,bát
cheix,mùa
tav,đời
tik,cánh
sênhv,"thừa, khoảng"
txôngl,khu
jaol,làng
xar,xã
xinhr,tỉnh
zangv,loại
txeir,bố
tuz,con trai
nxeik,con gái
nhuôs,con
tix,anh trai
cưr,em trai
vêr,chị gái
ndâus,em gái
nhangz,dâu
vâur,rể
zơưv,ông
pus,bà
tsêr,nhà
têz,nương
lax,ruộng
đêr,chó
keiz,gà
ntơưr,giấy
đêx,nước
shuv xinhz,học sinh
cưk ntông,thợ mộc
tsêr khu maoz,bệnh viện
đha,chạy
nhaoz,ở
zang zus,bay lượn
uô si,chơi
nưl đha,nó chạy
tâu naox,được ăn
tâu hâuk,được uống
tâu cơưv,được học
tâu uô si,được chơi
tsuv tuô,bị giết
tsuv tuv,bị cắn
trâus maoz,bị ốm
trâus  phuôv,bị phạt
tsuv ntâuk,bị đánh
az,đắng
kăngz,ngọt
saz,cao
greiv,hẹp
yaz,mới
tsêr nor jông hưngr,nhà này đẹp quá
tsêr nor jông jông,nhà này đẹp đẹp
tsêr nor tsi jông,nhà này không đẹp
luz yao yaz yaz,cái áo mới mới
luz yao laok six yaz,cái áo rất mới
luz yao tsi yaz,cái áo không mới
thâuk tưs,khi nào
thâuk tưs môngl,khi nào đi
bâuv tưs,bao nhiêu
zuôr bâuv tưs,lấy bao nhiêu
tul tưs uô maor,ai nấu cơm
nav uô maor,mẹ nấu cơm
tus tưs,ai
caox hâuk đangz sti,anh uống gì
nor,này
cao,kia
tiv u,ở xa đằng kia
nhil nor,bây giờ
thâuk cao,lúc đó
hnuz nor,hôm nay
hmaok nor,đêm nay
bâuv nor,bằng này
bâuv cao,"từng đó, bằng ấy"
nưl xangr môngl cơưv,nó sắp đi học
xangr tsus cheix sâu kôngz,sắp đến mùa thu hoạch
nhaor,vừa mới
cur nhaor môngl,tôi vừa mới đi
iz tsêr nhaor naox maor txơưv muôx kruô,cả nhà vừa mới ăn cơm thì có khách
tưz,"đã, đã từng"
pêz tưz naox maor,chúng tôi đã ăn cơm
tul tưv lâul tưz tuôs nao,con trâu già đã chết rét
lơưv,rồi
"cur lul txus tsêr, nưl tưz môngl lơưv",tôi về đến nhà thì nó đã đi rồi
ưz ao tul sik nhav,hai đứa mình thích nhau
lao six,rất
luz tsêr nor lao six saz,ngôi nhà này rất cao
thêv,"lắm, quá"
nưl muôx jus thêv,nó khỏe quá
tsi,không
pêz môngl cangr caz cax,chúng ta đi chợ nhé
"tsi, cur tsi môngl","không, tôi không đi"
caox cơưv sti tâu,mày học bài chưa
cur tsi tâu cơưv,tôi chưa đi học
cur thaz (haz) caox sik môngl cơưv,tôi và anh cùng đi học
"lak, lak sik","hay, hay là"
caox uô lak (sik) nưl uô,anh làm hay (là) nó làm
mak,"mà, thì, nhưng"
"heik lul txus uô lê, mak nưl tsênhv tsi pâuz",nói đến thế mà nó vẫn không biết
"caox môngl, mak cur tsi môngl","anh đi, thì (nhưng) tôi không đi"
si mak,nhưng mà
"caox heik, si mak caox tsi uô","anh nói, nhưng mà anh không làm"
viv,vì
"viv lul nangs, cur tsi tuôx","vì trời mưa, tôi không đến"
"zaos cưk gênhl cơưv, txơưv khaor thuôx","nếu lười học, thì thi không đỗ"
plâuz,tóc
bleis,lưỡi
ndâux,miệng
hnuz,mặt trời
blôngx,lá
txir,quả
pangx,hoa
blêx,lúa
njêl,cá
bjêl (hmông sua),cá
đêr,chó
tlêr (hmông sua),chó
jus,khỏe
hlâu,sắt
trâu,sáu
chơưr,rượu
khưr,khổ
tsưr,chủ
mêv,mực
txưr,chữ
krêz,mờ
tsơưz,chuối
langx,mát
tsưr tsêr,chủ nhà
chuôx thênhx,gia đình
changr kra,giảng dạy
txangr hlôngr,chuyển đổi
shuv xinhz,học sinh
shux thangx,"học đường, nhà trường"
paov yơưx,báo thù
paor phưv,bảo vệ
vuôv tsưr,tất
vêx zaoz,yếm
khênhx,tròn
paor vêv huôx finhx,bảo vệ hòa bình
paov caov,báo cáo
paov tôngv,báo động
cak binhk,ca bin
cângv thiv,cận thị
tsưr vuv,chức vụ
côngz laox,công lao
đangl jus laox tôngv,công sức lao động
côngz yênhx côngz côngv,công trình công cộng
grăngx xôr,dãy số
jênhx xôr,dân số
đangx cângx,đàn cầm
đaov phoưx,đạo phật
hmao jangr xinhz,đêm giáng sinh
đăngl jus cênhk têr,điều kiện kinh tế
đôix môix,đồi mồi
hêx,hề
cox qix,quốc kì
hêv xinhz their,hệ sinh thái
cuôr khanhr,quốc khánh
hiêuv,hiệu
cuôr têr; thôngz ntux,quốc tế
hiêuv xôr,hiệu số
cuik tsêr,quy chế
cuiz tênhv,quy định
hôngr xôr,hỗn số
cuik luôx,quy luật
hưr ngiv,hữu nghị
cuik tar,quy tắc
kruôz nôngk ngiêx,khuyến nông
cik lôk mêr,ki lô mét
qênhx hangv,quyền hạn
langy phêv,lãng phí
qênhx shênhx,quyền hành
langl; lis,lạng
xinhz huôx,sinh hoạt
lơưk huênhx,lưu huỳnh
xôr tsưv yưx,số bị trừ
mox đôv,mật độ
xôr pheiz,số chia
mâur xôr,mẫu số
mêr khôir,mét khối
mir tinhk,mít tinh
ngiêr vuv,nghĩa vụ
ngiêr vuv côngk jênhk,nghĩa vụ công dân
laox tôngv yênhx tâu,thành quả lao động
phôv thông,phổ thông
thêv zux thêv thaok,thể dục thể thao
xôr lak mar,số la mã
xôr lêuv,số liệu
yênhx côngz,thành công
phưx vưv,phục vụ
phôv thông,phổ thông
tôngv hơưx,tổng hợp
iz huôv; tông xôr,tổng số
yoangx thôngz,truyền thống
shuv sinhz haz theix jaor,học sinh và thầy giáo
shuv xinhz,học sinh
their jaor,thầy giáo
shuv xinhz yaz cơưv hmôngz ntơưr,học sinh mới học chữ hmông
shuv xinhz,học sinh
tsêr,cái nhà
đêr,chó
blôngx,lá
lênhx shuv xinhz,cậu học sinh
luz tsêr,ngôi nhà này rất cao
tul đêr,con chó
đeiv blôngx,chiếc lá
lênhx shuv xinhz yaz,cậu học sinh mới
luz tsêr jông gâux,ngôi nhà đẹp
tul đêr đuz,con chó đen
đeiv blôngx laz,chiếc lá đỏ
lênhx shuv xinhz yaz cao,cậu học sinh mới đó
luz tsêr jông gâux nor,ngôi nhà đẹp này
tul đêr đuz cao,con chó đen kia
đeiv blôngx laz nor,chiếc lá đỏ này
fôngr,vốc
khênhr,bỏ
têl,nắm
ntiv,bát
cir,cân
chaov,yến
tav,tạ
lir,lít
qiv,thước
lil cêr,cây số
aoz ntiv đêx,hai bát nước
iz khênhr tơưl,một bó củi
chuôx yiv ntâu,chín thước vải
shang lil cêr,bảy cây số
pêz tul buô,ba con lợn
plâuz luz yao,bốn cái áo
aoz luz hnuz kuz,hai ngôi sao
iz luz hli,một mặt trăng
iz luz hnuz,một mặt trời
trâu đeiv lêr,sáu tấm chiếu
tsiz trăngz tras,năm con dao
đeiv,tấm
đrư,chùm
caoz,cơn
nja,hạt
păngz,đám
txôngx,đàn cầm
kraor,lỗ
kraor muôs,lỗ mắt
kraor njêx,lỗ tai
kraor nor,chỗ này
kraor tiv u,chỗ xa kia
kraor tưs,chỗ nào
lênhx,người
lênhx nav,người mẹ
lênhx zơưv,người ông
tul,con
tul buô,con lợn
tul căngz,con sâu
tul heir,cái bừa
tul blơưv,cái roi
tul đêx,con sông
luz,cái
luz tsêr,cái nhà
luz yao,cái áo
luz hnuz,mặt trời
luz hli,mặt trăng
kuz,thằng
kuz hlâuk cxangr,thằng kẻ cướp
trăngz,cái
trang hlâu,cái cuốc
trăngz tras,cái dao
trangz tâuk,cái búa
đeiv,tấm
đeiv lêr,tấm chiếu
đeiv qix,lá cờ
đeiv têz,mảnh nương
đeiv ntâuz,miếng vải
faoz,cái
faoz qaox,cái chăn
faoz lêr,cái chiếu
tsao,cây
tsao ntông,cây gỗ
tsao shôngz,cây tre
chaor,cục
chaor angr,cục đất
thôngx,hòn
thôngx angr,hòn đất
njak,hạt
njak blêx,hạt thóc
tâur,bông
aoz tâur pangx,hai bông hoa
đrư,chùm
đrư txir,chùm quả
cu,bụi
cu shôngz,"bụi tre, nứa"
cu ntông,bụi cây
bleik,miếng
câux nduôr,miếng bánh
đeiv ntông,tấm gỗ
jăngx cơưv,bài học
baox,"đàn, bầy"
cangz năngs,cơn mưa
ntưl,cơn
ntưl chuô,cơn gió
fôngz,vốc
tâu paoz cư,vốc ngô
baox,"đàn, bầy"
baox nhux tưv,bầy trâu
baox keiz,đàn gà
fâuv,đợt
fâuv txir,đợt quả
tâu,vốc
tâu paoz cư,vốc ngô
faoz,cái
faoz nhak,cái địu
faoz lêr,cái chiếu
bleik txir lưl,múi chanh
bleik krar,lát gừng
txông,bó
txông tơưl,bó củi
zangv,loại
zangv nênhs,loại người
txux,sợi
txux hluô,sợi dây
txux cêr,con đường
txux jông,điều tốt
têl jâuz,nắm rau
plangl,con dốc
pêz plangl taox,ba con dốc núi
txôngx,khóm
lu,miếng
txôngx blêx,khóm lúa
chaor,miếng
chaor maor,miếng cơm
chaor angr,cục đất
lu greix,miếng thịt
aoz fangz xưz pưs,hai bên vai
tras,nhát dao
txarpeez tras,chém ba nhát dao
exênhx,lớp
exênhx têz,lớp đất
zênhv grênhz,lớp cỏ gianh
pênhr,quyển
pênhr ntơưr,quyển vở
thênhv,lớp
thênhv cơưn,lớp học
langv fưx,chai
langv fưx chơưr,chai rượu
pluôl,bữa
pluôl maor,bữa cơm
jăngl,lứa
jăng buô,lứa lợn
ntangs,gánh
ntangs tơưl,gánh củi
phưz,gáo
phưz đêx,gáo nước
cir thangx,cân đường
chuôz,nhúm
chuôz njêr,nhúm muối
puôz,nắm
aoz puôz maor blâuv,hai nắm xôi
exiv,mét
aoz cxiv mtâuz,hai mét vải
lu,"tiếng, lời"
lir,lít
lir chơưr,lít rượu
côngr,cốc
côngr chơưr,cốc rượu
khaoz,chén
khaoz chơưr,chén rượu
cơưv,gùi
aoz cơưv paoz cư,hai gùi ngô
thâur,chai
thâur chơưr,chai rượu
thâur thangx,lọ đường
txaos,ván
txaos fax ntơưr,ván bài
jas môngl,lượt đi
iz,một
aoz,hai
pêz,ba
plâuz,bốn
tsiz,năm
cur tsês maor trâu cur tix lâul ntơưv lâux câux,tôi để phần cơm cho anh trai tôi trong nồi
nav cuôs nhuôs môngl caz muôl greix tul tav kruô,mẹ sai con đi chợ mua thịt về tiếp khách
txir tưz uô tâu tsêr yaz trâu tul tuz,bố đã dựng xong nhà cho con trai
tix lâul kra tul muôv shuv lul chaoz tsiz,anh trai dạy em gái học tiếng việt
cur zơưv lâul tuô nhux,bác tôi giết trâu
tul yưk njaz tâu tul tsuôs,con mèo bắt được con chuột
cur txir nhuôr uô tâu iz luz tsêr yaz,cha tôi vừa làm được một ngôi nhà mới
nưl tsông luz ntiv tơưs,nó đập cái bát vỡ
nhuôs puz txax yawng trâu nav txir,con tặng quà cho bố mẹ
chuôz zis nor kuôk tul nxeik trâu fôngx zưl li nhuôs,gia đình này gả con gái cho con của bạn
nav khơưk nhuôs aoz luz txir txơưz,mẹ cho con hai quả chuối
xang ntơưr traor lul tsêr,gửi thư về nhà
puz iz pênhz ntơrr trâu nưl,đưa một quyển sách cho nó
puz trâu nưl iz pênhz ntơưr,đưa cho nó một quyển sách
muôz trâu cur aoz tul keiz,bắt cho tôi hai con gà
muôz aoz tul keiz trâu cur,bắt hai con gà cho tôi
txir muôl iz thaov tril yaoz trâu nhuôs,bố mua một bộ quần áo cho con
luz tênhr tsôngz na muôx pêz côngz,cái đồng hồ này có ba kim
hâur lâux câuz tsênhv yuôr maor,trong nồi đang còn cơm
căngz pênhv yênhx lưs,tằm biến thành kén
cur tưz yênhx nhaos cưk yuôx,tôi đã trở thành bác sĩ
nhaoz nor muôx aoz tul nav đêx,ở đây có hai con sông lớn
tix cao tưz yênhx cur li lênhx cưk kra ntơưr,anh ấy đã trở thành người thầy của tôi
cur tul nxeik zuôr yênhx tul nxeik jông gâux đuô hâur jaol,em gái tôi sẽ trở thành cô gái đẹp nhất làng
cur zis muôx ziv tul tuôz nênhs,gia đình tôi có tám người
chuôv nênhv tưz txa pênhv yênhx tuôz nênhs,vượn đã biến hóa thành người
cuôs,sai bảo
nak,ép buộc
zuôz,ép buộc
fav,cứ
cuôs caox môngl nrar nhux,bảo anh đi tìm bò
zuôz nhuôs hâuk yuôx,ép con uống thuốc
puôz vuz hav nưl tuô tuôz nênhs,người ta vu cáo nó giết người
txir cuôs nhuôs muôz tơưl lul tsêr,bố bảo con mang củi vào nhà
môngl,đi
đha,chạy
luôv,bơi
flơưr,nhảy
tsir,trốn
ndê,lên
grôl,xuống
tơưv,ra
đhâu,qua
lul,về
môngl,đi
ndê môngl,leo lên đi
tơưv môngl,ra di
grêl môngl,xuống đi
tưv,ác
tix,anh
tix hloz,anh cả
zơưv zix,anh rể
pak,ao
yo,áo
nox,ăn
uô hlâu,ăn cắp
nhoz nox,ăn ở
thaor khơưr,ăn xin
nông,ẩm
sor,ấm
sor tsâu,ấm no
puôs,ấp
pêz,ba
vưz ciz,ba ba
pos,bà
niêv teik,bà ngoại
pos,bà nội
fuôk,bã
txir loz,bác tôi giết trâu
nhiêx đơưz,bạc
exar krơưr,bại liệt
qir thơưx,ban đầu
teis cik,ban mai
đruôz hnôngz,ban ngày
trôngx,bàn
saz lax,bàn bạc
xiz tơư,bàn chân
xiz têk,bàn tay
muôs,bán
bơưl,bạn
nduôr,bánh
sênhr,bao
thâuv tưs,bao giờ
hor ntêr,bao lâu
haor ntâu,bao nhiêu
poz vix,bao vây
thiz pov,bào
thiz,bào
heik,bảo
"pov, phi xor",báo
za,bay lượn
piêr,bày
sha,bảy cây số
chuôz zêx,bẫy
pêx phaz,bắc
tuôv,bắc qua
tsuôr,băm
tuô,bắn
"bâuv, chuôs",bằng
huv siêz,bằng lòng
tiêx zênhk,bằng phẳng
chax,bắp
ntêk,bắt
qir thơưx,bắt đầu
kiz,bậc
xeik,bấm
kiêk,bẩn
njâur,bâu
nhiv ni,bây giờ
"paz, box",bầy
zêx,bẫy
fuôx,bè
zâu,bé
foz tơưr,bẹ
lor nteik,bẻ
puôz teik,bẹn
tros,béo
pluôz,bẹp
nhuôs nhôngx,bê
puz,bễ
puôs,bế
saz,bên
moz,bệnh
kror chuz,bếp
kê hlơưk,bi
tâuz,bí
tưk,bí bách
"hiêr, fiêx",biển
pâuz,biết
nxuôr hâu,bím
pok,bịt
gas,bò
tso,bỏ
tsuôk,bó
caz,bọ
têr,bóc
"hnaoz, mfôngs",bón
"chor, lơưr",bọn
qơư tsâuk,bóng tối
"tsu, juôx",bóp
buôk,bọt
gruôz nhês,bồ câu
txir,bố
tsuôz,bốc
plênhr,bôi
plâuz,bốn
hmôngr,bậc
njưs,bờ
luôv đêx,bơi
viv,bởi
rênhz,bới
kênh,bớt
nzir,bù
nox mis,bú
tâuk,búa
"shur, chok",búi
pluôr yâur,bụi
cuô ar,bùn
plaz,bụng
khi,buộc
tar,buổi
tso,buông
"thix, tâur",buồng
qar qơư,buồng
traz heir,bừa
"pluôs, tênhv",bữa
bâu tơưk,bực tức
"trux, truôv",bước
gra,bưng
moz txiê,bướu
đê,bứt
njêl,cá
khơưv,cài
jâuz njuôz,cải
"lưr, changv",cãi
luz,cái
txir caz nzưr,cam
"xuô, krâur",cám
uô tsâus,cám ơn
tar nzưr lox,can đảm
tar khuôz,cản trở
cox qix,cán
nkruôz,cạn
chiêx,càng
chês,cành
tik,cánh
đrags liêx,cánh đồng
tik pax,cánh hoa
ndax baz,cánh tay
siêz,cao
tsuôz,cào
tul plik,cáo
cuôv,cạo
suôz jêz,cắt
bâu siêz,cáu
njiv,cay
vôngv,cày
puôx tseiv,cằm
cxok,cắm
tuv,cắn
"txiêr, hleik",cắt
truôv,câm
tuôr,cầm
krâuz nur njês,cần câu
khơưk chiê,cất
cxiêx tênhz mênhv,câu đố
qox,cầu
jax hâuk đêx,cầu vồng
đaz lâus,cậu
"tsoz, tus",cây
nkhiz ntông,chạc cây
luz vak,chài
njik,chải
"qưr, mfar",chạm
njê,chan
đhuôr,cán
txir kâuz,chanh
"hu, hơưv",chào
điêz,chào mào
cuô đik,cháo
xêv,chát
xênhz nzưr,cháu
"đâux chok, kưk tuôr",chày
ntưk,chảy
"chis, cuz",cháy
đhiê,chạy
gruôs,chăm
gruôs siêz,chăm chỉ
cênhr,chẵn
"tar, their",chắn
txiêr,chặt
jêk tơưk,châm
njư,chấm
kênhz,chậm
toư,chân
greiv,chật
côngx đa buô,châu chấu
yâur,chấy
"their, trôngs, bus",che
txiêr,chém ba nhát dao
txênhv,chen
nôngs yâu,chèo bẻo
thuôx,chê
tuôs,chết
cxuôk,chì
tơư,chỉ trỏ
muôv hloz,chị
niêv tix,chị dâu
pheiz,chia
tus tưs,chiếc
đruôk tsưz,chiêng
"ziz, hloz",chiều
tsov,chiếu
nôngs,chim
nôngs liêx,chim cắt
nôngs yâur,chim sẻ
tos,chìm
puz,cho
đêr,chó
"hma, đêr kuk",chó sói
"yâuv, tâuv",chọc
chi,chói
"ndơưk, đrâu",chọi
xeir,chọn
qơư,chỗ
câul,chồi
khâuz truôz,chổi
phâuk,chôn
vâur,chồng
tok,chờ
khưr,chợ
"yav, uô si",chơi
leiv xoz,chớp
njeik muôs,chớp mắt
txir nzơưv,chú
zơưv zix,chú rể
kâuz,chua
tsênhr piv,chuẩn bị
phôngv,chúc
qơưk,chui
so,chùi
"trâur, đrư",chùm
côngv,chung
lơưr chor,chúng nó
pêz,chúng ta
cu,chuôi
tsơưz,chuôi
cuk li,chuồn chuồn
guôx,chuồng
mê njik,chút
khur txưv,chữ
"tsi, tsi tâu",chưa
suôz nhuôs,chửa
đrox,cỏ
muôx,có
kar cơưk,cóc
"nđêx, tsưs",cọc
nhuôs (nhuôv),con
nhuôs tuz,con trai
njiêz muôs,con ngươi
nhuôs puôs,con nuôi
yuôr,còn
nkhâuk,cong
trik,cõng
nhax,cô
gâux nhaz,cô dâu
chax đaz,cổ
"jêz, chok",cối
nđêx,cột
"hlê, đơưk, txo",cởi
mor,cơm
"kok, vơưs",củ
kuz,cũ
"pos, zơưv, côngz",cụ
trâuz trik,cua
tơưk,củi
tưz,cũng
"uô nênhz, đaz kruô",cúng
cơưr,cưa
kror trôngx,cửa
kor trei,cửa sổ
tơưr,cứng
luôs,cười
cheix,cưỡi
uô yôngz,cưới
exar krơưr,cướp
hluô,dây
njênhx,dẻ
txir,dẻ
jông saz,dễ tính
tiêr,da
nziv hluz,dễ thương
plangz,dạ dày
blơưv,dai
cangz jas,đế
ntuk,dệt
ntêr,dài
lo,dán
nav hluôk,dì
tras,dao
niêv yaz,dì ghẻ
tuôz,dày
kriê,dạy
đar,diều hâu
reik,dắt
chaoz chêv,dặn
"khoz, lo",dính
jênhx,dân
gâux,dân ca
viv,do
hêv,dọa
jênhx xưv,dân số
jăngx 1,bài 1
jăngx 2,bài 2
jăngx 3,bài 3
